You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
          date    OT
 2015/3/3 0:00 23.51
 2015/3/3 1:00 22.74
 2015/3/3 2:00 22.36
 2015/3/3 3:00 22.35
 2015/3/3 4:00 23.19
 2015/3/3 5:00 24.59
 2015/3/3 6:00 26.36
 2015/3/3 7:00 27.09
 2015/3/3 8:00 27.30
 2015/3/3 9:00 26.89
2015/3/3 10:00 26.66
2015/3/3 11:00 26.52
2015/3/3 12:00 26.18
2015/3/3 13:00 26.07
2015/3/3 14:00 26.33
2015/3/3 15:00 26.59
2015/3/3 16:00 26.66
2015/3/3 17:00 27.32
2015/3/3 18:00 28.21
2015/3/3 19:00 27.26
2015/3/3 20:00 26.69
2015/3/3 21:00 26.30
2015/3/3 22:00 26.04
2015/3/3 23:00 24.93
 2015/3/4 0:00 24.41
 2015/3/4 1:00 23.73
 2015/3/4 2:00 23.34
 2015/3/4 3:00 23.56
 2015/3/4 4:00 24.39
 2015/3/4 5:00 25.70
 2015/3/4 6:00 26.91
 2015/3/4 7:00 29.03
 2015/3/4 8:00 29.98
 2015/3/4 9:00 28.90
2015/3/4 10:00 27.22
2015/3/4 11:00 26.97
2015/3/4 12:00 26.84
2015/3/4 13:00 26.81
2015/3/4 14:00 26.81
2015/3/4 15:00 26.65
2015/3/4 16:00 26.87
2015/3/4 17:00 28.17
2015/3/4 18:00 29.27
2015/3/4 19:00 28.06
2015/3/4 20:00 27.02
2015/3/4 21:00 26.63
2015/3/4 22:00 26.28
2015/3/4 23:00 25.23
 2015/3/5 0:00 25.02
 2015/3/5 1:00 24.28
 2015/3/5 2:00 24.02
 2015/3/5 3:00 24.25
 2015/3/5 4:00 24.97
 2015/3/5 5:00 25.78
 2015/3/5 6:00 26.98
 2015/3/5 7:00 30.44
 2015/3/5 8:00 36.32
 2015/3/5 9:00 35.59
2015/3/5 10:00 30.18
2015/3/5 11:00 30.32
2015/3/5 12:00 28.52
2015/3/5 13:00 27.79
2015/3/5 14:00 28.69
2015/3/5 15:00 28.23
2015/3/5 16:00 28.51
2015/3/5 17:00 29.91
2015/3/5 18:00 42.23
2015/3/5 19:00 30.47
2015/3/5 20:00 27.24
2015/3/5 21:00 26.72
2015/3/5 22:00 26.18
2015/3/5 23:00 25.52
 2015/3/6 0:00 25.04
 2015/3/6 1:00 24.38
 2015/3/6 2:00 23.96
 2015/3/6 3:00 23.94
 2015/3/6 4:00 24.85
 2015/3/6 5:00 25.57
 2015/3/6 6:00 26.36
 2015/3/6 7:00 27.72
 2015/3/6 8:00 29.09
 2015/3/6 9:00 28.82
2015/3/6 10:00 28.02
2015/3/6 11:00 27.33
2015/3/6 12:00 26.85
2015/3/6 13:00 26.57
2015/3/6 14:00 26.52
2015/3/6 15:00 26.39
2015/3/6 16:00 26.48
2015/3/6 17:00 27.31
2015/3/6 18:00 28.12
2015/3/6 19:00 26.99
2015/3/6 20:00 26.15
2015/3/6 21:00 25.80
2015/3/6 22:00 25.52
2015/3/6 23:00 25.05
 2015/3/7 0:00 23.62
 2015/3/7 1:00 22.79
 2015/3/7 2:00 22.00
 2015/3/7 3:00 21.70
 2015/3/7 4:00 21.39
 2015/3/7 5:00 21.50
 2015/3/7 6:00 21.78
 2015/3/7 7:00 21.95
 2015/3/7 8:00 22.25
 2015/3/7 9:00 23.07
2015/3/7 10:00 23.31
2015/3/7 11:00 23.16
2015/3/7 12:00 22.50
2015/3/7 13:00 22.26
2015/3/7 14:00 22.08
2015/3/7 15:00 22.09
2015/3/7 16:00 22.73
2015/3/7 17:00 23.85
2015/3/7 18:00 24.42
2015/3/7 19:00 24.24
2015/3/7 20:00 23.26
2015/3/7 21:00 22.29
2015/3/7 22:00 22.12
2015/3/7 23:00 21.72
 2015/3/8 0:00 20.06
 2015/3/8 1:00 18.21
 2015/3/8 2:00 18.01
 2015/3/8 3:00 17.97
 2015/3/8 4:00 18.15
 2015/3/8 5:00 18.43
 2015/3/8 6:00 18.54
 2015/3/8 7:00 19.18
 2015/3/8 8:00 20.08
 2015/3/8 9:00 21.42
2015/3/8 10:00 21.42
2015/3/8 11:00 21.86
2015/3/8 12:00 21.28
2015/3/8 13:00 21.09
2015/3/8 14:00 21.42
2015/3/8 15:00 21.46
2015/3/8 16:00 22.03
2015/3/8 17:00 24.46
2015/3/8 18:00 25.29
2015/3/8 19:00 25.30
2015/3/8 20:00 25.00
2015/3/8 21:00 24.55
2015/3/8 22:00 23.75
2015/3/8 23:00 22.69
 2015/3/9 0:00 22.26
 2015/3/9 1:00 22.34
 2015/3/9 2:00 22.40
 2015/3/9 3:00 22.83
 2015/3/9 4:00 23.76
 2015/3/9 5:00 25.05
 2015/3/9 6:00 26.14
 2015/3/9 7:00 26.70
 2015/3/9 8:00 27.40
 2015/3/9 9:00 26.78
2015/3/9 10:00 26.45
2015/3/9 11:00 26.23
2015/3/9 12:00 25.95
2015/3/9 13:00 25.92
2015/3/9 14:00 25.95
2015/3/9 15:00 25.90
2015/3/9 16:00 25.95
2015/3/9 17:00 26.33
2015/3/9 18:00 27.40
2015/3/9 19:00 26.55
2015/3/9 20:00 26.07
2015/3/9 21:00 25.51
2015/3/9 22:00 24.80
2015/3/9 23:00 23.79And your final answer must follow the format
    <answer>
        
```

        ...
        
```

        </answer>
    Please obey the format strictly. And you must give me the complete answer.
    
