You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
          date     OT
 2013/4/2 0:00  47.76
 2013/4/2 1:00  46.88
 2013/4/2 2:00  46.66
 2013/4/2 3:00  46.70
 2013/4/2 4:00  47.05
 2013/4/2 5:00  49.02
 2013/4/2 6:00  54.66
 2013/4/2 7:00  95.43
 2013/4/2 8:00 109.55
 2013/4/2 9:00  77.40
2013/4/2 10:00  58.09
2013/4/2 11:00  52.59
2013/4/2 12:00  51.36
2013/4/2 13:00  50.04
2013/4/2 14:00  49.49
2013/4/2 15:00  49.01
2013/4/2 16:00  48.95
2013/4/2 17:00  49.59
2013/4/2 18:00  53.36
2013/4/2 19:00  58.91
2013/4/2 20:00  59.03
2013/4/2 21:00  54.51
2013/4/2 22:00  49.70
2013/4/2 23:00  47.26
 2013/4/3 0:00  48.26
 2013/4/3 1:00  47.09
 2013/4/3 2:00  46.82
 2013/4/3 3:00  47.06
 2013/4/3 4:00  47.49
 2013/4/3 5:00  49.63
 2013/4/3 6:00  49.94
 2013/4/3 7:00  58.75
 2013/4/3 8:00  60.78
 2013/4/3 9:00  53.55
2013/4/3 10:00  51.93
2013/4/3 11:00  50.63
2013/4/3 12:00  49.84
2013/4/3 13:00  49.32
2013/4/3 14:00  47.89
2013/4/3 15:00  47.60
2013/4/3 16:00  47.51
2013/4/3 17:00  47.97
2013/4/3 18:00  48.16
2013/4/3 19:00  50.87
2013/4/3 20:00  51.74
2013/4/3 21:00  48.80
2013/4/3 22:00  48.00
2013/4/3 23:00  47.44
 2013/4/4 0:00  47.03
 2013/4/4 1:00  46.43
 2013/4/4 2:00  46.16
 2013/4/4 3:00  46.21
 2013/4/4 4:00  46.76
 2013/4/4 5:00  47.97
 2013/4/4 6:00  49.37
 2013/4/4 7:00  58.88
