You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
            date    OT
 2015/10/13 0:00 20.70
 2015/10/13 1:00 20.37
 2015/10/13 2:00 20.31
 2015/10/13 3:00 20.36
 2015/10/13 4:00 20.72
 2015/10/13 5:00 21.34
 2015/10/13 6:00 22.78
 2015/10/13 7:00 25.07
 2015/10/13 8:00 27.38
 2015/10/13 9:00 25.90
2015/10/13 10:00 25.28
2015/10/13 11:00 24.69
2015/10/13 12:00 23.87
2015/10/13 13:00 23.69
2015/10/13 14:00 23.24
2015/10/13 15:00 22.98
2015/10/13 16:00 22.94
2015/10/13 17:00 23.42
2015/10/13 18:00 23.89
2015/10/13 19:00 23.78
2015/10/13 20:00 22.58
2015/10/13 21:00 21.99
2015/10/13 22:00 21.41
2015/10/13 23:00 20.60
 2015/10/14 0:00 20.69
 2015/10/14 1:00 20.45
 2015/10/14 2:00 20.42
 2015/10/14 3:00 20.47
 2015/10/14 4:00 20.81
 2015/10/14 5:00 21.58
 2015/10/14 6:00 23.03
 2015/10/14 7:00 26.11
 2015/10/14 8:00 29.52
 2015/10/14 9:00 27.75
2015/10/14 10:00 25.94
2015/10/14 11:00 24.97
2015/10/14 12:00 24.10
2015/10/14 13:00 23.91
2015/10/14 14:00 23.30
2015/10/14 15:00 22.77
2015/10/14 16:00 22.92
2015/10/14 17:00 23.57
2015/10/14 18:00 24.52
2015/10/14 19:00 24.37
2015/10/14 20:00 22.88
2015/10/14 21:00 22.16
2015/10/14 22:00 21.57
2015/10/14 23:00 20.78
 2015/10/15 0:00 21.29
 2015/10/15 1:00 21.09
 2015/10/15 2:00 20.95
 2015/10/15 3:00 20.94
 2015/10/15 4:00 21.23
 2015/10/15 5:00 22.01
 2015/10/15 6:00 24.14
 2015/10/15 7:00 25.54
 2015/10/15 8:00 25.97
 2015/10/15 9:00 25.95
2015/10/15 10:00 25.57
2015/10/15 11:00 25.09
2015/10/15 12:00 24.73
2015/10/15 13:00 24.51
2015/10/15 14:00 24.26
2015/10/15 15:00 24.05
2015/10/15 16:00 24.17
2015/10/15 17:00 24.56
2015/10/15 18:00 24.95
2015/10/15 19:00 24.85
2015/10/15 20:00 23.91
2015/10/15 21:00 23.03
2015/10/15 22:00 22.11
2015/10/15 23:00 21.24
 2015/10/16 0:00 21.70
 2015/10/16 1:00 21.64
 2015/10/16 2:00 21.58
 2015/10/16 3:00 21.66
 2015/10/16 4:00 22.16
 2015/10/16 5:00 23.30
 2015/10/16 6:00 24.33
 2015/10/16 7:00 25.99
 2015/10/16 8:00 26.01
 2015/10/16 9:00 25.85
2015/10/16 10:00 24.91
2015/10/16 11:00 24.71
2015/10/16 12:00 24.63
2015/10/16 13:00 24.34
2015/10/16 14:00 24.24
2015/10/16 15:00 23.96
2015/10/16 16:00 23.93
2015/10/16 17:00 24.59
2015/10/16 18:00 25.47
2015/10/16 19:00 25.28
2015/10/16 20:00 24.04
2015/10/16 21:00 23.71
2015/10/16 22:00 23.29
2015/10/16 23:00 22.79
 2015/10/17 0:00 22.77
 2015/10/17 1:00 22.47
 2015/10/17 2:00 22.38
 2015/10/17 3:00 22.37
 2015/10/17 4:00 22.47
 2015/10/17 5:00 22.81
 2015/10/17 6:00 23.04
 2015/10/17 7:00 23.37
 2015/10/17 8:00 23.57
 2015/10/17 9:00 23.84
2015/10/17 10:00 23.80
2015/10/17 11:00 23.73
2015/10/17 12:00 23.51
2015/10/17 13:00 23.29
2015/10/17 14:00 23.18
2015/10/17 15:00 23.14
