You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date     OT
 2016/3/22 0:00 20.340
 2016/3/22 1:00 20.110
 2016/3/22 2:00 20.080
 2016/3/22 3:00 20.510
 2016/3/22 4:00 21.190
 2016/3/22 5:00 21.960
 2016/3/22 6:00 22.060
 2016/3/22 7:00 22.620
 2016/3/22 8:00 23.360
 2016/3/22 9:00 23.020
2016/3/22 10:00 22.680
2016/3/22 11:00 22.410
2016/3/22 12:00 22.190
2016/3/22 13:00 22.090
2016/3/22 14:00 22.000
2016/3/22 15:00 22.020
2016/3/22 16:00 22.040
2016/3/22 17:00 22.240
2016/3/22 18:00 22.570
2016/3/22 19:00 22.460
2016/3/22 20:00 22.200
2016/3/22 21:00 22.000
2016/3/22 22:00 21.450
2016/3/22 23:00 20.960
 2016/3/23 0:00 20.890
 2016/3/23 1:00 20.510
 2016/3/23 2:00 20.260
 2016/3/23 3:00 20.560
 2016/3/23 4:00 21.000
 2016/3/23 5:00 21.540
 2016/3/23 6:00 21.850
 2016/3/23 7:00 22.390
 2016/3/23 8:00 22.920
 2016/3/23 9:00 22.550
2016/3/23 10:00 22.430
2016/3/23 11:00 22.300
2016/3/23 12:00 21.940
2016/3/23 13:00 21.860
2016/3/23 14:00 21.780
2016/3/23 15:00 21.730
2016/3/23 16:00 21.730
2016/3/23 17:00 21.900
2016/3/23 18:00 22.450
2016/3/23 19:00 22.480
2016/3/23 20:00 22.030
2016/3/23 21:00 21.920
2016/3/23 22:00 21.590
2016/3/23 23:00 21.140
 2016/3/24 0:00 21.360
 2016/3/24 1:00 21.000
 2016/3/24 2:00 20.710
 2016/3/24 3:00 20.870
 2016/3/24 4:00 21.350
 2016/3/24 5:00 22.000
 2016/3/24 6:00 21.890
 2016/3/24 7:00 22.050
 2016/3/24 8:00 22.320
 2016/3/24 9:00 22.210
2016/3/24 10:00 21.950
2016/3/24 11:00 21.790
2016/3/24 12:00 21.540
2016/3/24 13:00 21.230
2016/3/24 14:00 21.030
2016/3/24 15:00 20.880
2016/3/24 16:00 20.870
2016/3/24 17:00 21.090
2016/3/24 18:00 21.390
2016/3/24 19:00 21.350
2016/3/24 20:00 21.130
2016/3/24 21:00 20.940
2016/3/24 22:00 20.560
2016/3/24 23:00 20.280
 2016/3/25 0:00 20.720
 2016/3/25 1:00 20.290
 2016/3/25 2:00 20.260
 2016/3/25 3:00 20.000
 2016/3/25 4:00 20.050
 2016/3/25 5:00 20.360
 2016/3/25 6:00 20.270
 2016/3/25 7:00 20.400
 2016/3/25 8:00 20.870
 2016/3/25 9:00 21.110
2016/3/25 10:00 21.080
2016/3/25 11:00 20.960
2016/3/25 12:00 20.850
2016/3/25 13:00 20.470
2016/3/25 14:00 20.400
2016/3/25 15:00 20.400
2016/3/25 16:00 20.450
2016/3/25 17:00 20.730
2016/3/25 18:00 21.160
2016/3/25 19:00 21.110
2016/3/25 20:00 20.790
2016/3/25 21:00 20.530
2016/3/25 22:00 20.450
2016/3/25 23:00 20.150
