You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date    OT
  2016/9/6 0:00 24.18
  2016/9/6 1:00 23.89
  2016/9/6 2:00 23.57
  2016/9/6 3:00 22.72
  2016/9/6 4:00 22.92
  2016/9/6 5:00 24.13
  2016/9/6 6:00 27.34
  2016/9/6 7:00 29.48
  2016/9/6 8:00 30.06
  2016/9/6 9:00 29.96
 2016/9/6 10:00 29.43
 2016/9/6 11:00 28.09
 2016/9/6 12:00 26.17
 2016/9/6 13:00 25.89
 2016/9/6 14:00 25.73
 2016/9/6 15:00 25.73
 2016/9/6 16:00 26.06
 2016/9/6 17:00 26.22
 2016/9/6 18:00 26.35
 2016/9/6 19:00 26.18
 2016/9/6 20:00 26.17
 2016/9/6 21:00 25.64
 2016/9/6 22:00 24.22
 2016/9/6 23:00 23.33
  2016/9/7 0:00 20.60
  2016/9/7 1:00 19.59
  2016/9/7 2:00 18.94
  2016/9/7 3:00 19.10
  2016/9/7 4:00 20.21
  2016/9/7 5:00 23.26
  2016/9/7 6:00 25.31
  2016/9/7 7:00 27.24
  2016/9/7 8:00 27.74
  2016/9/7 9:00 27.84
 2016/9/7 10:00 26.75
 2016/9/7 11:00 26.41
 2016/9/7 12:00 26.11
 2016/9/7 13:00 26.07
 2016/9/7 14:00 25.69
 2016/9/7 15:00 25.66
 2016/9/7 16:00 25.82
 2016/9/7 17:00 26.94
 2016/9/7 18:00 27.04
 2016/9/7 19:00 27.53
 2016/9/7 20:00 27.44
 2016/9/7 21:00 26.69
 2016/9/7 22:00 24.85
 2016/9/7 23:00 24.22
  2016/9/8 0:00 23.38
  2016/9/8 1:00 23.00
  2016/9/8 2:00 22.59
  2016/9/8 3:00 22.13
  2016/9/8 4:00 22.22
  2016/9/8 5:00 23.24
  2016/9/8 6:00 25.73
  2016/9/8 7:00 28.33
  2016/9/8 8:00 29.17
  2016/9/8 9:00 29.34
 2016/9/8 10:00 28.41
 2016/9/8 11:00 27.96
 2016/9/8 12:00 27.68
 2016/9/8 13:00 27.28
 2016/9/8 14:00 26.60
 2016/9/8 15:00 26.21
 2016/9/8 16:00 26.20
 2016/9/8 17:00 27.77
 2016/9/8 18:00 28.11
 2016/9/8 19:00 28.35
 2016/9/8 20:00 27.95
 2016/9/8 21:00 26.95
 2016/9/8 22:00 24.45
 2016/9/8 23:00 24.05
  2016/9/9 0:00 23.27
  2016/9/9 1:00 22.48
  2016/9/9 2:00 21.84
  2016/9/9 3:00 21.43
  2016/9/9 4:00 21.87
  2016/9/9 5:00 23.40
  2016/9/9 6:00 26.14
  2016/9/9 7:00 27.85
  2016/9/9 8:00 27.69
  2016/9/9 9:00 27.79
 2016/9/9 10:00 27.97
 2016/9/9 11:00 27.84
 2016/9/9 12:00 27.18
 2016/9/9 13:00 26.17
 2016/9/9 14:00 25.71
 2016/9/9 15:00 25.73
 2016/9/9 16:00 26.03
 2016/9/9 17:00 26.45
 2016/9/9 18:00 26.52
 2016/9/9 19:00 26.60
 2016/9/9 20:00 26.28
 2016/9/9 21:00 25.79
 2016/9/9 22:00 24.43
 2016/9/9 23:00 23.79
 2016/9/10 0:00 24.04
 2016/9/10 1:00 23.65
 2016/9/10 2:00 23.38
 2016/9/10 3:00 22.98
 2016/9/10 4:00 22.61
 2016/9/10 5:00 23.02
 2016/9/10 6:00 23.40
 2016/9/10 7:00 24.02
 2016/9/10 8:00 24.37
 2016/9/10 9:00 24.65
2016/9/10 10:00 24.22
2016/9/10 11:00 24.13
2016/9/10 12:00 23.92
2016/9/10 13:00 23.80
2016/9/10 14:00 23.72
2016/9/10 15:00 24.02
2016/9/10 16:00 24.40
2016/9/10 17:00 25.17
2016/9/10 18:00 26.36
2016/9/10 19:00 26.46
2016/9/10 20:00 26.34
2016/9/10 21:00 25.48
2016/9/10 22:00 24.35
2016/9/10 23:00 24.01
 2016/9/11 0:00 22.99
 2016/9/11 1:00 20.90
 2016/9/11 2:00 20.39
 2016/9/11 3:00 20.14
 2016/9/11 4:00 20.07
 2016/9/11 5:00 20.23
 2016/9/11 6:00 20.44
 2016/9/11 7:00 20.52
 2016/9/11 8:00 22.95
 2016/9/11 9:00 23.87
2016/9/11 10:00 23.97
